Problem     Optimum  Best flatzinc_pso    Best pso  Mean flatzinc_pso    Mean pso  Std flatzinc_pso   Std pso
g01             -15            -14.995     -14.885            -14.916     -14.808             0.049     0.079
g02          -0.804             -0.126      -0.280             -0.097      -0.255             0.020     0.019
g03              -1             -0.962      -0.905             -0.938      -0.876             0.026     0.023
g04      -30665.386         -30665.832  -30665.430         -30664.293  -30661.908             1.396     3.797
g05        5126.496           5121.032    5118.069           5379.126    5415.778           289.205   398.137
g06       -6961.813          -6951.376   -6938.069          -6893.463   -6833.356            27.825    59.451
g07          24.306             36.051      38.072             45.344      48.853             7.905     5.631
g08           0.095             -0.096      -0.096             -0.096      -0.096             0.000     0.000
g09         680.630            686.456     687.776            689.552     691.149             4.006     2.666
g10        7049.248          10166.609   11251.461          13331.681   13785.604          2569.282  2961.580
g11           0.750              0.750       0.749              0.750       0.749                 0     0.000
g12              -1             -1.000      -1.000             -1.000      -1.000             0.000     0.000
