Problem  PSO (ms)  Flatzinc-PSO (ms)
-------  --------  -----------------
1         153.410            702.450
2         265.710            874.010
6         698.410           1210.000
g01      1500.000           2260.000
g02      2510.000           6930.000
g03      1210.000           2130.000
g04       626.760           1660.000
g05       482.730           1260.000
g06       265.970            984.960
g07      1220.000           3040.000
g08       266.950            878.160
g09       864.160           1900.000
g10       934.520           1670.000
g11       266.350            419.950
g12       726.060           1550.000
