run ----       objective       ----         violation        
--- ---- --------------------- ---- -------------------------
  1 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
  2 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
  3 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
  4 ---- 1.9990007931719719902 ---- 0.00099934553518038482522
  5 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
  6 ---- 1.9990006687287227294 ---- 0.00099947001298644755352
  7 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
  8 ---- 1.9990001595440964888 ----  0.0009999793390531031001
  9 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 10 ---- 1.9990006687287227294 ---- 0.00099947001298644755352
 11 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 12 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 13 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 14 ---- 1.9990011241983063339 ---- 0.00099901441694422166151
 15 ---- 1.9990002717367965079 ---- 0.00099986711518224025141
 16 ---- 1.9990007931719719902 ---- 0.00099934553518038482522
 17 ---- 1.9990009040064704582 ---- 0.00099923466990808895716
 18 ---- 1.9990005084082373976 ---- 0.00099963037799771781167
 19 ---- 1.9990007931719719902 ---- 0.00099934553518038482522
 20 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 21 ---- 1.9990002717367965079 ---- 0.00099986711518224025141
 22 ---- 1.9990001701209962892 ---- 0.00099996875921476435778
 23 ---- 1.9990002717367965079 ---- 0.00099986711518224025141
 24 ---- 1.9990007931719719902 ---- 0.00099934553518038482522
 25 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 26 ---- 1.9990011724074545629 ---- 0.00099896619441425249519
 27 ---- 1.9990002561550677118 ---- 0.00099988270124001799033
 28 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 29 ---- 1.9990002717367965079 ---- 0.00099986711518224025141
 30 ---- 1.9990013191122235625 ---- 0.00099881944892782348333
 31 ---- 1.9990003132603855196 ---- 0.00099982558005756727582
 32 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 33 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 34 ---- 1.9990006687287227294 ---- 0.00099947001298644755352
 35 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 36 ---- 1.9990011724074545629 ---- 0.00099896619441425249519
 37 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 38 ---- 1.9990007931719719902 ---- 0.00099934553518038482522
 39 ---- 1.9990003132603855196 ---- 0.00099982558005756727582
 40 ---- 1.9990006023199817786 ---- 0.00099953644017020115697
 41 ---- 1.9990003132603855196 ---- 0.00099982558005756727582
 42 ---- 1.9990011724074545629 ---- 0.00099896619441425249519
 43 ---- 1.9990006023199817786 ---- 0.00099953644017020115697
 44 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 45 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 46 ---- 1.9990002372292257071 ---- 0.00099990163234003892612
 47 ---- 1.9990002717367965079 ---- 0.00099986711518224025141
 48 ----  1.999000759835684482 ---- 0.00099937888072471059431
 49 ---- 1.9990001701209962892 ---- 0.00099996875921476435778
 50 ---- 1.9990002717367965079 ---- 0.00099986711518224025141
