run ----       objective       ----         violation        
--- ---- --------------------- ---- -------------------------
  1 ---- 1.3916251097455583086 ---- 0.00099702875024587633845
  2 ---- 1.3916257704386398864 ---- 0.00099667047966822686078
  3 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
  4 ---- 1.3916224732866258051 ---- 0.00099845841074297503326
  5 ---- 1.3916282937327335567 ---- 0.00099530218778198786822
  6 ---- 1.3916204055709382459 ---- 0.00099957966337149706249
  7 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
  8 ---- 1.3916196768055986155 ---- 0.00099997484869152053477
  9 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 10 ---- 1.3916294895781464724 ----  0.0009946537245841824415
 11 ---- 1.3916251097455583086 ---- 0.00099702875024587633845
 12 ---- 1.3916251097455583086 ---- 0.00099702875024587633845
 13 ---- 1.3916251097455583086 ---- 0.00099702875024587633845
 14 ---- 1.3916200870058439421 ---- 0.00099975241065108910732
 15 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 16 ---- 1.3916228507962302707 ---- 0.00099825370017203596262
 17 ---- 1.3916200870058439421 ---- 0.00099975241065108910732
 18 ----  1.391630673005870289 ---- 0.00099401199560134045896
 19 ---- 1.3916224732866258051 ---- 0.00099845841074297503326
 20 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 21 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 22 ---- 1.3916260773234576664 ---- 0.00099650406690399151444
 23 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 24 ---- 1.3916224732866258051 ---- 0.00099845841074297503326
 25 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 26 ---- 1.3916200870058439421 ---- 0.00099975241065108910732
 27 ---- 1.3916305963400101842 ---- 0.00099405356863835336867
 28 ---- 1.3916282937327335567 ---- 0.00099530218778198786822
 29 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 30 ---- 1.3916224732866258051 ---- 0.00099845841074297503326
 31 ---- 1.3916200870058439421 ---- 0.00099975241065108910732
 32 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 33 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 34 ---- 1.3916294895781464724 ----  0.0009946537245841824415
 35 ---- 1.3916282937327335567 ---- 0.00099530218778198786822
 36 ---- 1.3916200870058439421 ---- 0.00099975241065108910732
 37 ---- 1.3916251097455583086 ---- 0.00099702875024587633845
 38 ---- 1.3916224732866258051 ---- 0.00099845841074297503326
 39 ---- 1.3916200870058439421 ---- 0.00099975241065108910732
 40 ----  1.391630673005870289 ---- 0.00099401199560134045896
 41 ---- 1.3916200870058439421 ---- 0.00099975241065108910732
 42 ---- 1.3916200870058439421 ---- 0.00099975241065108910732
 43 ---- 1.3916294895781464724 ----  0.0009946537245841824415
 44 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 45 ---- 1.3916251097455583086 ---- 0.00099702875024587633845
 46 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 47 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
 48 ---- 1.3916196768055986155 ---- 0.00099997484869152053477
 49 ---- 1.3916260773234576664 ---- 0.00099650406690399151444
 50 ---- 1.3916265461532004721 ---- 0.00099624983721602333731
