run ----       objective        ---- violation
--- ---- ---------------------- ---- ---------
  1 ----  -6942.607666324278398 ----         0
  2 ---- -6891.1578969168967888 ----         0
  3 ---- -6941.9029139150025003 ----         0
  4 ---- -6932.4622485791933286 ----         0
  5 ---- -6919.9376595554585947 ----         0
  6 ---- -6941.9029139150025003 ----         0
  7 ---- -6932.4622485791933286 ----         0
  8 ----  -6944.587774002502556 ----         0
  9 ---- -6930.4047998370460846 ----         0
 10 ----  -6935.663868714516866 ----         0
 11 ---- -6924.9488106174567292 ----         0
 12 ----  -6942.607666324278398 ----         0
 13 ---- -6941.2471369635541123 ----         0
 14 ---- -6875.3845470293690596 ----         0
 15 ---- -6899.8161439093919398 ----         0
 16 ---- -6916.8354758294171916 ----         0
 17 ---- -6936.0109440160740633 ----         0
 18 ---- -6930.4047998370460846 ----         0
 19 ----  -6935.663868714516866 ----         0
 20 ---- -6899.4985131177054427 ----         0
 21 ---- -6936.0109440160740633 ----         0
 22 ---- -6919.9376595554585947 ----         0
 23 ---- -6930.3923915341738393 ----         0
 24 ----  -6935.663868714516866 ----         0
 25 ----  -6935.663868714516866 ----         0
 26 ---- -6902.6102794637026818 ----         0
 27 ---- -6941.5112344817080157 ----         0
 28 ---- -6893.3886600074993112 ----         0
 29 ---- -6893.3886600074993112 ----         0
 30 ---- -6916.8354758294171916 ----         0
 31 ---- -6944.8859072177110647 ----         0
 32 ----  -6935.663868714516866 ----         0
 33 ---- -6924.9488106174567292 ----         0
 34 ---- -6902.6102794637026818 ----         0
 35 ---- -6875.3845470293690596 ----         0
 36 ---- -6901.8886021362241081 ----         0
 37 ---- -6936.1183542422668324 ----         0
 38 ---- -6893.3886600074993112 ----         0
 39 ---- -6890.1251198783329528 ----         0
 40 ----  -6935.663868714516866 ----         0
 41 ---- -6930.4047998370460846 ----         0
 42 ---- -6932.4622485791933286 ----         0
 43 ---- -6944.0104123077071563 ----         0
 44 ----  -6935.663868714516866 ----         0
 45 ----   -6946.51892848762418 ----         0
 46 ----  -6935.663868714516866 ----         0
 47 ---- -6895.3345475784362861 ----         0
 48 ---- -6876.7931135902599635 ----         0
 49 ---- -6901.8886021362241081 ----         0
 50 ---- -6940.3065918561824219 ----         0
