run ----       objective        ---- violation
--- ---- ---------------------- ---- ---------
  1 ---- -6743.5504412595882968 ----         0
  2 ---- -6743.5504412595882968 ----         0
  3 ----  -6869.896516964854527 ----         0
  4 ---- -6837.1086907700328084 ----         0
  5 ---- -6724.3195625858188578 ----         0
  6 ---- -6819.4160038769678067 ----         0
  7 ---- -6807.0841470073901291 ----         0
  8 ---- -6724.3195625858188578 ----         0
  9 ---- -6886.2944347316133644 ----         0
 10 ---- -6807.0841470073901291 ----         0
