run ----       objective        ----         violation        
--- ---- ---------------------- ---- -------------------------
  1 ---- -211.50104999598943323 ---- 0.00099999618039703364047
  2 ---- -211.50104996962565451 ---- 0.00099997107205851420986
  3 ---- -211.50104998578586901 ----    0.00099998646271970415
  4 ---- -211.50104999226923042 ---- 0.00099999263736094690103
  5 ---- -211.50104998578586901 ----    0.00099998646271970415
  6 ---- -211.50104999870970346 ---- 0.00099999877113887691849
  7 ---- -211.50104999226923042 ---- 0.00099999263736094690103
  8 ---- -211.50104999458508814 ---- 0.00099999484293533669188
  9 ---- -211.50104999458508814 ---- 0.00099999484293533669188
 10 ---- -211.50104999984216647 ---- 0.00099999984967169552874
 11 ----  -211.5010499954392742 ---- 0.00099999565644637300466
 12 ---- -211.50104998239731913 ---- 0.00099998323555183787903
 13 ---- -211.50104998492395225 ---- 0.00099998564185455052211
 14 ---- -211.50104998492395225 ---- 0.00099998564185455052211
 15 ---- -211.50104998492395225 ---- 0.00099998564185455052211
 16 ---- -211.50104998909461074 ---- 0.00099998961391278839983
 17 ---- -211.50104998909461074 ---- 0.00099998961391278839983
 18 ---- -211.50104998239731913 ---- 0.00099998323555183787903
 19 ---- -211.50104999458508814 ---- 0.00099999484293533669188
 20 ---- -211.50104999946265139 ---- 0.00099999948823636941597
 21 ---- -211.50104999598943323 ---- 0.00099999618039703364047
 22 ---- -211.50104998492395225 ---- 0.00099998564185455052211
 23 ----  -211.5010499954392742 ---- 0.00099999565644637300466
 24 ---- -211.50104998909461074 ---- 0.00099998961391278839983
 25 ---- -211.50104999226923042 ---- 0.00099999263736094690103
 26 ---- -211.50104999226923042 ---- 0.00099999263736094690103
 27 ---- -211.50104998578586901 ----    0.00099998646271970415
 28 ---- -211.50104999713701659 ---- 0.00099999727336097521402
 29 ---- -211.50104999870970346 ---- 0.00099999877113887691849
 30 ---- -211.50104998648146193 ---- 0.00099998712521554011801
 31 ---- -211.50104999870970346 ---- 0.00099999877113887691849
 32 ---- -211.50104998239731913 ---- 0.00099998323555183787903
 33 ---- -211.50104999458508814 ---- 0.00099999484293533669188
 34 ---- -211.50104999598943323 ---- 0.00099999618039703364047
 35 ---- -211.50104998909461074 ---- 0.00099998961391278839983
 36 ---- -211.50104998909461074 ---- 0.00099998961391278839983
 37 ---- -211.50104999598943323 ---- 0.00099999618039703364047
 38 ---- -211.50104998648146193 ---- 0.00099998712521554011801
 39 ---- -211.50104999226923042 ---- 0.00099999263736094690103
 40 ---- -211.50104998594389372 ---- 0.00099998661324107729342
 41 ---- -211.50104998492395225 ---- 0.00099998564185455052211
 42 ---- -211.50104998492395225 ---- 0.00099998564185455052211
 43 ----  -211.5010499954392742 ---- 0.00099999565644637300466
 44 ---- -211.50104998492395225 ---- 0.00099998564185455052211
 45 ---- -211.50104999226923042 ---- 0.00099999263736094690103
 46 ---- -211.50104999226923042 ---- 0.00099999263736094690103
 47 ---- -211.50104999870970346 ---- 0.00099999877113887691849
 48 ----  -211.5010499954392742 ---- 0.00099999565644637300466
 49 ---- -211.50104998999145778 ----  0.0009999904680633164844
 50 ---- -211.50104998909461074 ---- 0.00099998961391278839983
