run ----       objective        ----         violation        
--- ---- ---------------------- ---- -------------------------
  1 ---- -211.50104986972880283 ---- 0.00099987593220518533599
  2 ---- -211.50104985593139872 ---- 0.00099986279180441783865
  3 ---- -211.50104969041629488 ---- 0.00099970515837455309338
  4 ---- -211.50104929047691371 ---- 0.00099932426371651672525
  5 ----  -211.5010497958799931 ---- 0.00099980559998513740538
  6 ----  -211.5010497958799931 ---- 0.00099980559998513740538
  7 ---- -211.50104906904857671 ---- 0.00099911337960278956416
  8 ---- -211.50104969852981185 ---- 0.00099971288554101533919
  9 ---- -211.50104933188637801 ---- 0.00099936370132525098597
 10 ----  -211.5010497958799931 ---- 0.00099980559998513740538
 11 ---- -211.50104985593139872 ---- 0.00099986279180441783865
 12 ---- -211.50104986972880283 ---- 0.00099987593220518533599
 13 ---- -211.50104968457756627 ---- 0.00099969959768841931691
 14 ---- -211.50104932937989588 ---- 0.00099936131417877049898
 15 ----  -211.5010497958799931 ---- 0.00099980559998513740538
 16 ---- -211.50104986972880283 ---- 0.00099987593220518533599
 17 ---- -211.50104906904857671 ---- 0.00099911337960278956416
 18 ---- -211.50104986972880283 ---- 0.00099987593220518533599
 19 ---- -211.50104968457756627 ---- 0.00099969959768841931691
 20 ---- -211.50104933188637801 ---- 0.00099936370132525098597
 21 ----  -211.5010499934367374 ---- 0.00099999374926085238258
 22 ---- -211.50104972690400018 ---- 0.00099973990857193939519
 23 ---- -211.50104929047691371 ---- 0.00099932426371651672525
 24 ---- -211.50104991991898373 ---- 0.00099992373237256515495
 25 ---- -211.50104977433005615 ---- 0.00099978507625664292391
 26 ---- -211.50104999653038362 ---- 0.00099999669559736048541
 27 ---- -211.50104969852981185 ---- 0.00099971288554101533919
 28 ---- -211.50104969852981185 ---- 0.00099971288554101533919
 29 ---- -211.50104969041629488 ---- 0.00099970515837455309338
 30 ---- -211.50104975036228439 ---- 0.00099976224978703953639
 31 ---- -211.50104906904857671 ---- 0.00099911337960278956416
 32 ----  -211.5010492475743149 ---- 0.00099928340411636895624
 33 ----  -211.5010497958799931 ---- 0.00099980559998513740538
 34 ---- -211.50104986972880283 ---- 0.00099987593220518533599
 35 ----  -211.5010497958799931 ---- 0.00099980559998513740538
 36 ---- -211.50104986972880283 ---- 0.00099987593220518533599
 37 ---- -211.50104986972880283 ---- 0.00099987593220518533599
 38 ---- -211.50104996066224317 ----  0.0009999625354666363819
 39 ---- -211.50104906904857671 ---- 0.00099911337960278956416
 40 ---- -211.50104969041629488 ---- 0.00099970515837455309338
 41 ---- -211.50104906904857671 ---- 0.00099911337960278956416
 42 ---- -211.50104968457756627 ---- 0.00099969959768841931691
 43 ---- -211.50104999653038362 ---- 0.00099999669559736048541
 44 ----  -211.5010497958799931 ---- 0.00099980559998513740538
 45 ---- -211.50104977542389406 ---- 0.00099978611800111139019
 46 ----  -211.5010497958799931 ---- 0.00099980559998513740538
 47 ---- -211.50104986972880283 ---- 0.00099987593220518533599
 48 ---- -211.50104996066224317 ----  0.0009999625354666363819
 49 ----  -211.5010497958799931 ---- 0.00099980559998513740538
 50 ---- -211.50104999653038362 ---- 0.00099999669559736048541
