Problem     Optimum  Best flatzinc_pso    Best pso  Mean flatzinc_pso    Mean pso  Std flatzinc_pso   Std pso
g01             -15            -14.892     -14.825            -13.025     -12.887             1.368     1.251
g02          -0.804             -0.345      -0.341             -0.281      -0.298             0.033     0.031
g03              -1             -0.956      -0.947             -0.895      -0.785             0.048     0.094
g04      -30665.386         -30666.331  -30666.226         -30665.388  -30664.476             0.665     1.097
g05        5126.496           5115.734    5118.333           5860.152    5861.914           395.940   373.123
g06       -6961.813          -6951.099   -6953.812          -6922.202   -6904.423            20.967    34.981
g07          24.306             32.896      33.607             71.290      47.094            48.347    21.526
g08           0.095             -0.096      -0.096             -0.096      -0.096             0.000     0.000
g09         680.630            684.614     685.152            687.721     689.371             1.634     2.846
g10        7049.248           8015.163    8283.200          12657.795   10026.341          4229.005  1930.895
g11           0.750              0.750       0.749              0.750       0.749                 0     0.000
g12              -1             -1.000      -1.000             -1.000      -1.000             0.000     0.000
p1           -1.393              1.392       1.999              1.392       1.999             0.000     0.000
p2        -6961.813          -6953.812   -6946.519          -6904.063   -6922.013            36.174    21.047
p6             -213           -211.501    -211.501           -211.501    -211.501             0.000     0.000
