run ----       objective        ----         violation        
--- ---- ---------------------- ---- -------------------------
  1 ---- -14.902643996109839364 ---- 0.00012781337423328764658
  2 ---- -14.826483274348557728 ----                         0
  3 ---- -14.994884979576305284 ----                         0
  4 ---- -14.884412222820920135 ----                         0
  5 ---- -14.902643996109839364 ---- 0.00012781337423328764658
  6 ---- -14.957060644951058137 ---- 0.00016870658024581430823
  7 ---- -14.957060644951058137 ---- 0.00016870658024581430823
  8 ---- -14.939496751843725164 ----                         0
  9 ---- -14.927172907695144488 ----                         0
 10 ----  -14.86881504391792852 ----                         0
