run ----        objective        ---- violation
--- ---- ----------------------- ---- ---------
  1 ---- -0.49903883035671531276 ----         0
  2 ---- -0.49903883035671531276 ----         0
  3 ---- -0.25386924142314726272 ----         0
  4 ---- -0.27966187042922285855 ----         0
  5 ---- -0.44834043718669974732 ----         0
  6 ---- -0.25386924142314726272 ----         0
  7 ---- -0.39799459110461604672 ----         0
  8 ---- -0.27584575282613760239 ----         0
  9 ---- -0.31879012696022862583 ----         0
 10 ---- -0.26159308224282151745 ----         0
 11 ---- -0.27966187042922285855 ----         0
 12 ---- -0.26320448906850052451 ----         0
 13 ---- -0.30923920258496784275 ----         0
 14 ---- -0.36642850526674486389 ----         0
 15 ---- -0.33415286692813556124 ----         0
 16 ---- -0.39799459110461604672 ----         0
 17 ---- -0.51118521266151328852 ----         0
 18 ---- -0.51118521266151328852 ----         0
 19 ---- -0.51118521266151328852 ----         0
 20 ---- -0.27517081598397236109 ----         0
 21 ---- -0.25386924142314726272 ----         0
 22 ---- -0.39799459110461604672 ----         0
 23 ---- -0.28469570090652268624 ----         0
 24 ---- -0.37228983904805917904 ----         0
 25 ---- -0.31562486164804065547 ----         0
 26 ---- -0.31879012696022862583 ----         0
 27 ---- -0.23795144257121481068 ----         0
 28 ---- -0.30923920258496784275 ----         0
 29 ---- -0.25386924142314726272 ----         0
 30 ---- -0.43614847147152696616 ----         0
 31 ---- -0.25386924142314726272 ----         0
 32 ---- -0.26159308224282151745 ----         0
 33 ---- -0.28469570090652268624 ----         0
 34 ---- -0.28469570090652268624 ----         0
 35 ---- -0.32809546117343069138 ----         0
 36 ---- -0.31879012696022862583 ----         0
 37 ---- -0.43614847147152696616 ----         0
 38 ---- -0.31562486164804065547 ----         0
 39 ---- -0.44834043718669974732 ----         0
 40 ---- -0.25386924142314726272 ----         0
 41 ---- -0.23795144257121481068 ----         0
 42 ---- -0.26127323847951161584 ----         0
 43 ---- -0.26743625024171413518 ----         0
 44 ---- -0.51118521266151328852 ----         0
 45 ---- -0.39799459110461604672 ----         0
 46 ---- -0.44834043718669974732 ----         0
 47 ----  -0.2819472785236534218 ----         0
 48 ---- -0.27966187042922285855 ----         0
 49 ---- -0.50591711113047321824 ----         0
 50 ---- -0.25386924142314726272 ----         0
