run ----        objective        ----         violation        
--- ---- ----------------------- ---- -------------------------
  1 ---- -0.93309590905666195404 ---- 0.00088856794790447284245
  2 ----  -0.9458023091297965701 ---- 0.00013471630243343533971
  3 ---- -0.94547617878674472536 ---- 0.00077409614345979043011
  4 ---- -0.93134399506658094303 ---- 0.00079985619987809068905
  5 ----  -0.9458023091297965701 ---- 0.00013471630243343533971
  6 ---- -0.90211990201960834401 ---- 0.00038192916910594353107
  7 ---- -0.91679301988352057684 ---- 0.00031178414672837782883
  8 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
  9 ---- -0.88527419761232706286 ---- 0.00067295592598736191266
 10 ---- -0.92681567902014128091 ---- 0.00056369388712128602921
 11 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 12 ----  -0.9615113210674165467 ---- 1.4834945981079345682e-05
 13 ---- -0.92261196663532141216 ---- 0.00091531198813709084734
 14 ----  -0.9615113210674165467 ---- 1.4834945981079345682e-05
 15 ----  -0.9615113210674165467 ---- 1.4834945981079345682e-05
 16 ---- -0.92261196663532141216 ---- 0.00091531198813709084734
 17 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 18 ---- -0.93309590905666195404 ---- 0.00088856794790447284245
 19 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 20 ---- -0.93309590905666195404 ---- 0.00088856794790447284245
 21 ---- -0.91679301988352057684 ---- 0.00031178414672837782883
 22 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 23 ---- -0.88527419761232706286 ---- 0.00067295592598736191266
 24 ---- -0.91679301988352057684 ---- 0.00031178414672837782883
 25 ---- -0.91679301988352057684 ---- 0.00031178414672837782883
 26 ---- -0.92446336889552704896 ---- 0.00016704158908441578456
 27 ----  -0.9615113210674165467 ---- 1.4834945981079345682e-05
 28 ---- -0.94547617878674472536 ---- 0.00077409614345979043011
 29 ---- -0.95620947972468028908 ---- 0.00040894193668638011184
 30 ---- -0.92446336889552704896 ---- 0.00016704158908441578456
 31 ---- -0.92261196663532141216 ---- 0.00091531198813709084734
 32 ---- -0.94547617878674472536 ---- 0.00077409614345979043011
 33 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 34 ---- -0.92446336889552704896 ---- 0.00016704158908441578456
 35 ---- -0.92446336889552704896 ---- 0.00016704158908441578456
 36 ---- -0.93309590905666195404 ---- 0.00088856794790447284245
 37 ---- -0.94547617878674472536 ---- 0.00077409614345979043011
 38 ---- -0.94547617878674472536 ---- 0.00077409614345979043011
 39 ----  -0.9274586542046360238 ---- 0.00075624329772082670049
 40 ----  -0.9458023091297965701 ---- 0.00013471630243343533971
 41 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 42 ---- -0.92446336889552704896 ---- 0.00016704158908441578456
 43 ----  -0.9615113210674165467 ---- 1.4834945981079345682e-05
 44 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 45 ---- -0.93309590905666195404 ---- 0.00088856794790447284245
 46 ---- -0.88527419761232706286 ---- 0.00067295592598736191266
 47 ---- -0.93134399506658094303 ---- 0.00079985619987809068905
 48 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 49 ---- -0.95483827490874939592 ---- 0.00071002305064381547768
 50 ---- -0.95620947972468028908 ---- 0.00040894193668638011184
