run ----        objective        ----         violation        
--- ---- ----------------------- ---- -------------------------
  1 ----  -0.6846526926652809486 ---- 0.00053918604688996119023
  2 ---- -0.56195402791339799098 ---- 0.00011338589082066086178
  3 ---- -0.81028823704337504807 ---- 0.00048663780435898029708
  4 ---- -0.85784195219145542577 ---- 0.00028543692456772795651
  5 ----  -0.8366237795527501353 ---- 0.00094479705250372081338
  6 ---- -0.75639612215336304857 ---- 6.7838146386556275047e-05
  7 ---- -0.60721692885030853493 ---- 0.00061776740927255158198
  8 ---- -0.74236419353181326564 ---- 5.3305867311781440776e-05
  9 ---- -0.66881593878749445725 ---- 0.00027014965517957456598
 10 ---- -0.85784195219145542577 ---- 0.00028543692456772795651
 11 ---- -0.56195402791339799098 ---- 0.00011338589082066086178
 12 ---- -0.72330319404338505596 ---- 0.00076299655991007853117
 13 ---- -0.60721692885030853493 ---- 0.00061776740927255158198
 14 ---- -0.85549520125495681633 ---- 0.00093091945780021667645
 15 ---- -0.82604688657461111667 ---- 0.00027957895947960942351
 16 ---- -0.74919720575215331682 ---- 0.00012766993353219291407
 17 ----  -0.8347202378829159386 ---- 0.00033583885128840584855
 18 ---- -0.94711022742764805482 ---- 0.00015327090946537502703
 19 ----  -0.8935205012155943427 ---- 0.00020031010126642101454
 20 ---- -0.82670636871755320829 ---- 0.00060250802552574977966
 21 ----  -0.9061318490455050334 ---- 4.6343993838071639857e-06
 22 ---- -0.86462163263903857313 ---- 0.00090479629831263785888
 23 ---- -0.71913526112824277536 ---- 0.00081792509136868751796
 24 ---- -0.85784195219145542577 ---- 0.00028543692456772795651
 25 ----  -0.6846526926652809486 ---- 0.00053918604688996119023
 26 ----  -0.8347202378829159386 ---- 0.00033583885128840584855
 27 ---- -0.80660096766559352677 ---- 0.00057784994485376994788
 28 ---- -0.75639612215336304857 ---- 6.7838146386556275047e-05
 29 ---- -0.72330319404338505596 ---- 0.00076299655991007853117
 30 ---- -0.74236419353181326564 ---- 5.3305867311781440776e-05
 31 ---- -0.81028823704337504807 ---- 0.00048663780435898029708
 32 ---- -0.93423634192505378149 ---- 0.00071157348353234617377
 33 ---- -0.81028823704337504807 ---- 0.00048663780435898029708
 34 ---- -0.86587192788478717365 ---- 0.00033030299869718504624
 35 ---- -0.80660096766559352677 ---- 0.00057784994485376994788
 36 ---- -0.86853694217912980058 ---- 0.00055755495344100847177
 37 ----  -0.8935205012155943427 ---- 0.00020031010126642101454
 38 ---- -0.72330319404338505596 ---- 0.00076299655991007853117
 39 ---- -0.74236419353181326564 ---- 5.3305867311781440776e-05
 40 ---- -0.60721692885030853493 ---- 0.00061776740927255158198
 41 ----  -0.9061318490455050334 ---- 4.6343993838071639857e-06
 42 ---- -0.85784195219145542577 ---- 0.00028543692456772795651
 43 ---- -0.80660096766559352677 ---- 0.00057784994485376994788
 44 ---- -0.72330319404338505596 ---- 0.00076299655991007853117
 45 ---- -0.86853694217912980058 ---- 0.00055755495344100847177
 46 ---- -0.85549520125495681633 ---- 0.00093091945780021667645
 47 ---- -0.81706379998851774715 ---- 3.0171980158311129117e-05
 48 ---- -0.81028823704337504807 ---- 0.00048663780435898029708
 49 ---- -0.72330319404338505596 ---- 0.00076299655991007853117
 50 ---- -0.73686599220871684679 ---- 0.00031840127924276373506
