run ----       objective       ----       violation       
--- ---- --------------------- ---- ----------------------
  1 ---- 5115.7344891762186307 ----   4.600816687828000795
  2 ---- 6101.1477517225002885 ----  1.2136112454933254412
  3 ---- 6108.7447767657477016 ----  1.4653598142203918542
  4 ---- 6101.1477517225002885 ----  1.2136112454933254412
  5 ---- 5949.3272339853529047 ----  1.8488634869747784251
  6 ---- 6096.2552389861575648 ----  2.1882068427397598498
  7 ---- 6108.7447767657477016 ----  1.4653598142203918542
  8 ---- 5256.9685193025725312 ----  1.5253527859998736727
  9 ---- 5176.7691672798046056 ----  3.2914372599195758085
 10 ---- 6101.1477517225002885 ----  1.2136112454933254412
 11 ---- 6101.1477517225002885 ----  1.2136112454933254412
 12 ---- 6108.7447767657477016 ----  1.4653598142203918542
 13 ---- 5115.7344891762186307 ----   4.600816687828000795
 14 ---- 6101.1477517225002885 ----  1.2136112454933254412
 15 ---- 6101.1477517225002885 ----  1.2136112454933254412
 16 ---- 6101.1477517225002885 ----  1.2136112454933254412
 17 ---- 5165.2429851115903148 ----   2.475604993575871049
 18 ----  5168.250495340942507 ----  2.0296408369008531736
 19 ----  5168.250495340942507 ----  2.0296408369008531736
 20 ---- 6096.2552389861575648 ----  2.1882068427397598498
 21 ---- 6108.7447767657477016 ----  1.4653598142203918542
 22 ---- 6045.3244696079700589 ----  2.8367132426872103679
 23 ---- 6101.1477517225002885 ----  1.2136112454933254412
 24 ---- 6101.1477517225002885 ----  1.2136112454933254412
 25 ---- 6101.1477517225002885 ----  1.2136112454933254412
 26 ---- 6034.0826969541776634 ----  1.0528626156578866357
 27 ---- 5176.7691672798046056 ----  3.2914372599195758085
 28 ---- 6101.1477517225002885 ----  1.2136112454933254412
 29 ---- 5167.4563701259157824 ----  1.8466723907068853805
 30 ---- 6101.1477517225002885 ----  1.2136112454933254412
 31 ---- 6034.0826969541776634 ----  1.0528626156578866357
 32 ---- 6034.0826969541776634 ----  1.0528626156578866357
 33 ----  5168.250495340942507 ----  2.0296408369008531736
 34 ---- 5949.3272339853529047 ----  1.8488634869747784251
 35 ----  5168.250495340942507 ----  2.0296408369008531736
 36 ---- 6034.0826969541776634 ----  1.0528626156578866357
 37 ---- 6108.7447767657477016 ----  1.4653598142203918542
 38 ---- 6101.1477517225002885 ----  1.2136112454933254412
 39 ---- 6034.0826969541776634 ----  1.0528626156578866357
 40 ---- 6101.1477517225002885 ----  1.2136112454933254412
 41 ---- 6101.1477517225002885 ----  1.2136112454933254412
 42 ---- 5949.3272339853529047 ----  1.8488634869747784251
 43 ---- 5155.4322350678776274 ----  3.1237532938096137514
 44 ---- 6101.1477517225002885 ----  1.2136112454933254412
 45 ---- 6108.7447767657477016 ----  1.4653598142203918542
 46 ---- 6096.2552389861575648 ----  2.1882068427397598498
 47 ---- 6110.0723837409868793 ----  1.7673469398378074402
 48 ---- 6117.0196182453400979 ---- 0.90867354230931596248
 49 ---- 6045.3244696079700589 ----  2.8367132426872103679
 50 ---- 6108.7447767657477016 ----  1.4653598142203918542
