run ----       objective       ----       violation       
--- ---- --------------------- ---- ----------------------
  1 ----  5148.779252845019073 ----  5.3179285914335423513
  2 ---- 6103.5781554759196297 ----  2.1080214581634209026
  3 ---- 6113.8791058672568397 ---- 0.79433390482483900996
  4 ---- 6103.5781554759196297 ----  2.1080214581634209026
  5 ---- 5984.2415937157657027 ----  1.5710598084331195423
  6 ---- 6113.8791058672568397 ---- 0.79433390482483900996
  7 ---- 6113.8791058672568397 ---- 0.79433390482483900996
  8 ---- 5248.1978133741768033 ----  3.3012122863116246663
  9 ----  5366.361428173967397 ----   3.997645843985310421
 10 ---- 6103.5781554759196297 ----  2.1080214581634209026
 11 ---- 5945.4711956913324684 ----  4.8561349794600801033
 12 ---- 6113.8791058672568397 ---- 0.79433390482483900996
 13 ----  5148.779252845019073 ----  5.3179285914335423513
 14 ---- 5945.4711956913324684 ----  4.8561349794600801033
 15 ---- 5945.4711956913324684 ----  4.8561349794600801033
 16 ---- 6103.5781554759196297 ----  2.1080214581634209026
 17 ---- 5203.7257083115237037 ----  1.8545600750601352047
 18 ---- 5234.3312194710151743 ----  5.2642451588650374106
 19 ---- 5184.6793892418527321 ----  1.0521930152863205876
 20 ---- 6113.8791058672568397 ---- 0.79433390482483900996
 21 ---- 6113.8791058672568397 ---- 0.79433390482483900996
 22 ---- 6116.9022429958067733 ----  1.3312816387090151693
 23 ---- 6103.5781554759196297 ----  2.1080214581634209026
 24 ---- 5945.4711956913324684 ----  4.8561349794600801033
 25 ---- 6103.5781554759196297 ----  2.1080214581634209026
 26 ---- 5962.1235352014264208 ----  1.5334030569371179809
 27 ---- 5316.5824025071906362 ----  3.3125649495534617017
 28 ---- 5945.4711956913324684 ----  4.8561349794600801033
 29 ---- 5182.1560791174424594 ----  5.1641312278942450575
 30 ---- 6103.5781554759196297 ----  2.1080214581634209026
 31 ---- 5962.1235352014264208 ----  1.5334030569371179809
 32 ---- 5962.1235352014264208 ----  1.5334030569371179809
 33 ---- 5234.3312194710151743 ----  5.2642451588650374106
 34 ---- 5984.2415937157657027 ----  1.5710598084331195423
 35 ---- 5203.7257083115237037 ----  1.8545600750601352047
 36 ---- 6103.5781554759196297 ----  2.1080214581634209026
 37 ---- 6113.8791058672568397 ---- 0.79433390482483900996
 38 ---- 6110.4903774439462723 ----  2.0366311517703934442
 39 ---- 6103.5781554759196297 ----  2.1080214581634209026
 40 ---- 6103.5781554759196297 ----  2.1080214581634209026
 41 ---- 6103.5781554759196297 ----  2.1080214581634209026
 42 ---- 5984.2415937157657027 ----  1.5710598084331195423
 43 ---- 5118.3332162347496705 ----  2.0649274364079701627
 44 ---- 6103.5781554759196297 ----  2.1080214581634209026
 45 ---- 6113.8791058672568397 ---- 0.79433390482483900996
 46 ---- 6113.8791058672568397 ---- 0.79433390482483900996
 47 ---- 6113.8791058672568397 ---- 0.79433390482483900996
 48 ---- 6099.3612348320002639 ----  1.9729470200402374758
 49 ---- 6116.9022429958067733 ----  1.3312816387090151693
 50 ---- 6113.8791058672568397 ---- 0.79433390482483900996
