run ----       objective        ---- violation
--- ---- ---------------------- ---- ---------
  1 ---- -6896.8735827797372622 ----         0
  2 ----  -6892.327075927374608 ----         0
  3 ---- -6896.4520719746296891 ----         0
  4 ---- -6874.0928929931878884 ----         0
  5 ---- -6937.1381231758496142 ----         0
  6 ---- -6921.7270463535924137 ----         0
  7 ---- -6903.7191458823454013 ----         0
  8 ---- -6937.1381231758496142 ----         0
  9 ---- -6886.6507465216236596 ----         0
 10 ---- -6893.2898394808744342 ----         0
 11 ---- -6937.1381231758496142 ----         0
 12 ---- -6887.0680973405260374 ----         0
 13 ---- -6921.7270463535924137 ----         0
 14 ---- -6921.7270463535924137 ----         0
 15 ---- -6937.1381231758496142 ----         0
 16 ---- -6937.1381231758496142 ----         0
 17 ---- -6934.5712506341960761 ----         0
 18 ---- -6934.5712506341960761 ----         0
 19 ---- -6921.7270463535924137 ----         0
 20 ----  -6928.670709281861491 ----         0
 21 ---- -6852.6535821700617817 ----         0
 22 ---- -6896.8735827797372622 ----         0
 23 ---- -6937.1381231758496142 ----         0
 24 ---- -6947.3826462044726213 ----         0
 25 ---- -6937.1381231758496142 ----         0
 26 ---- -6951.3758753133688515 ----         0
 27 ---- -6820.1646229275766018 ----         0
 28 ---- -6923.6661734280405653 ----         0
 29 ----  -6911.579118571194158 ----         0
 30 ---- -6933.0215863076891765 ----         0
 31 ---- -6875.4416167242361553 ----         0
 32 ---- -6937.1381231758496142 ----         0
 33 ---- -6852.6535821700617817 ----         0
 34 ---- -6944.6926669010517799 ----         0
 35 ---- -6820.1646229275766018 ----         0
 36 ---- -6937.1381231758496142 ----         0
 37 ---- -6912.8661367717804751 ----         0
 38 ---- -6921.7270463535924137 ----         0
 39 ---- -6923.6661734280405653 ----         0
 40 ---- -6937.1381231758496142 ----         0
 41 ---- -6896.8584543270862923 ----         0
 42 ----  -6892.327075927374608 ----         0
 43 ---- -6921.7270463535924137 ----         0
 44 ---- -6933.0215863076891765 ----         0
 45 ---- -6933.0215863076891765 ----         0
 46 ---- -6900.1829611397160988 ----         0
 47 ---- -6933.0215863076891765 ----         0
 48 ---- -6885.2059434297798362 ----         0
 49 ---- -6921.7270463535924137 ----         0
 50 ---- -6874.0928929931878884 ----         0
