run ----       objective        ----         violation        
--- ---- ---------------------- ---- -------------------------
  1 ---- -6832.6182734042658922 ----                         0
  2 ---- -6904.9579085408222454 ----                         0
  3 ---- -6950.9108374620172981 ----                         0
  4 ---- -6939.5441407744547178 ----                         0
  5 ---- -6898.5096896640579871 ----                         0
  6 ---- -6945.7999939691635518 ----                         0
  7 ---- -6928.3577943144991877 ----                         0
  8 ---- -6904.9579085408222454 ----                         0
  9 ---- -6875.0160797475409709 ----                         0
 10 ---- -6875.0160797475409709 ----                         0
 11 ---- -6904.9579085408222454 ----                         0
 12 ---- -6868.2968500538463559 ----                         0
 13 ---- -6950.9108374620172981 ----                         0
 14 ---- -6864.3669553225827258 ----                         0
 15 ---- -6950.9108374620172981 ----                         0
 16 ---- -6904.9579085408222454 ----                         0
 17 ---- -6909.1584241481996287 ----                         0
 18 ---- -6939.5441407744547178 ----                         0
 19 ---- -6904.9579085408222454 ----                         0
 20 ---- -6904.9579085408222454 ----                         0
 21 ---- -6898.3129824532607017 ---- 0.00068336298852500476642
 22 ---- -6950.9108374620172981 ----                         0
 23 ---- -6946.5344737945179077 ----                         0
 24 ---- -6898.3129824532607017 ---- 0.00068336298852500476642
 25 ---- -6864.3669553225827258 ----                         0
 26 ---- -6904.9579085408222454 ----                         0
 27 ---- -6884.0541173293468091 ----                         0
 28 ---- -6929.8376218972243805 ----                         0
 29 ---- -6945.7999939691635518 ----                         0
 30 ---- -6928.3577943144991877 ----                         0
 31 ---- -6950.9108374620172981 ----                         0
 32 ---- -6886.5120467205060777 ----                         0
 33 ---- -6890.1633480230611895 ----                         0
 34 ---- -6953.8124398872250822 ----                         0
 35 ---- -6935.7255458117215312 ----                         0
 36 ---- -6928.3577943144991877 ----                         0
 37 ---- -6945.7999939691635518 ----                         0
 38 ---- -6832.6182734042658922 ----                         0
 39 ---- -6909.1584241481996287 ----                         0
 40 ----   -6868.04614565556858 ----                         0
 41 ---- -6832.6182734042658922 ----                         0
 42 ---- -6904.9579085408222454 ----                         0
 43 ---- -6864.3669553225827258 ----                         0
 44 ---- -6864.2923574753103821 ----                         0
 45 ---- -6950.9108374620172981 ----                         0
 46 ---- -6864.3669553225827258 ----                         0
 47 ---- -6864.3669553225827258 ----                         0
 48 ---- -6875.0160797475409709 ----                         0
 49 ---- -6884.0541173293468091 ----                         0
 50 ---- -6904.9579085408222454 ----                         0
