run ----       objective       ----         violation        
--- ---- --------------------- ---- -------------------------
  1 ---- 35.366403322760788797 ----                         0
  2 ---- 35.948272127755863892 ----                         0
  3 ---- 35.714982281628849137 ----                         0
  4 ---- 136.79373517938086025 ---- 1.4210854715202003717e-14
  5 ---- 136.79373517938086025 ---- 1.4210854715202003717e-14
  6 ---- 37.293374848007204037 ----                         0
  7 ---- 32.896268684652454795 ----                         0
  8 ---- 142.51355725124989249 ---- 1.4210854715202003717e-14
  9 ---- 33.778566712167950925 ----                         0
 10 ---- 133.66769807877301446 ---- 1.4210854715202003717e-14
 11 ---- 59.182703217033648002 ----                         0
 12 ---- 35.714982281628849137 ----                         0
 13 ---- 37.293374848007204037 ----                         0
 14 ---- 135.67220294727218288 ---- 1.4210854715202003717e-14
 15 ---- 33.778566712167950925 ----                         0
 16 ---- 35.366403322760788797 ----                         0
 17 ---- 36.975409915106986602 ----                         0
 18 ---- 50.002323324136348504 ----                         0
 19 ---- 44.928850163953974572 ----                         0
 20 ---- 37.402401162107224764 ----                         0
 21 ---- 35.948272127755863892 ----                         0
 22 ---- 35.366403322760788797 ----                         0
 23 ---- 135.12336838006658013 ----                         0
 24 ---- 36.306674447288905583 ----                         0
 25 ---- 35.714982281628849137 ----                         0
 26 ---- 130.56770120786200096 ----                         0
 27 ---- 35.948272127755863892 ----                         0
 28 ---- 35.714982281628849137 ----                         0
 29 ---- 53.559073215318228733 ----                         0
 30 ----  35.08957938283192135 ----                         0
 31 ---- 36.976719146267157612 ----                         0
 32 ---- 35.948272127755863892 ----                         0
 33 ---- 42.339997773423156957 ----                         0
 34 ---- 139.28508982384670389 ---- 1.4210854715202003717e-14
 35 ---- 52.603570100058149706 ----                         0
 36 ----  35.08957938283192135 ----                         0
 37 ----   137.954649898852864 ----                         0
 38 ---- 36.975409915106986602 ----                         0
 39 ---- 35.714982281628849137 ----                         0
 40 ---- 135.67220294727218288 ---- 1.4210854715202003717e-14
 41 ---- 192.62775536426420331 ----                         0
 42 ---- 135.67220294727218288 ---- 1.4210854715202003717e-14
 43 ---- 136.79373517938086025 ---- 1.4210854715202003717e-14
 44 ---- 53.559073215318228733 ----                         0
 45 ---- 135.91430470869937608 ----                         0
 46 ---- 133.66769807877301446 ---- 1.4210854715202003717e-14
 47 ---- 36.306674447288905583 ----                         0
 48 ---- 42.339997773423156957 ----                         0
 49 ---- 135.67220294727218288 ---- 1.4210854715202003717e-14
 50 ---- 36.975409915106986602 ----                         0
