run ----       objective       ---- violation
--- ---- --------------------- ---- ---------
  1 ---- 45.238942593438849826 ----         0
  2 ---- 48.521961336044718394 ----         0
  3 ---- 42.787270892016231016 ----         0
  4 ---- 48.237189375020236071 ----         0
  5 ---- 46.913023963963723872 ----         0
  6 ---- 45.327403347092307229 ----         0
  7 ---- 48.237189375020236071 ----         0
  8 ---- 45.238942593438849826 ----         0
  9 ---- 50.489776489796739156 ----         0
 10 ---- 60.676335942069741236 ----         0
 11 ---- 45.238942593438849826 ----         0
 12 ---- 54.903049793651042876 ----         0
 13 ---- 51.407712161171872367 ----         0
 14 ---- 48.521961336044718394 ----         0
 15 ---- 44.117769180084593472 ----         0
 16 ---- 40.862210146667862887 ----         0
 17 ---- 38.072463862097833953 ----         0
 18 ---- 50.419443494404852402 ----         0
 19 ---- 45.437022297177890096 ----         0
 20 ---- 46.462883896679386453 ----         0
 21 ---- 60.676335942069741236 ----         0
 22 ---- 43.596188272665180818 ----         0
 23 ---- 48.237189375020236071 ----         0
 24 ---- 48.521961336044718394 ----         0
 25 ---- 56.742821169782132529 ----         0
 26 ---- 47.064376598520532013 ----         0
 27 ---- 51.407712161171872367 ----         0
 28 ---- 42.787270892016231016 ----         0
 29 ---- 50.489776489796739156 ----         0
 30 ---- 47.064376598520532013 ----         0
 31 ---- 54.903049793651042876 ----         0
 32 ---- 40.862210146667862887 ----         0
 33 ---- 56.506969419984955039 ----         0
 34 ---- 47.064376598520532013 ----         0
 35 ---- 51.407712161171872367 ----         0
 36 ---- 51.407712161171872367 ----         0
 37 ----  46.38409749691078332 ----         0
 38 ---- 45.238942593438849826 ----         0
 39 ---- 47.064376598520532013 ----         0
 40 ---- 50.419443494404852402 ----         0
 41 ---- 50.489776489796739156 ----         0
 42 ---- 46.913023963963723872 ----         0
 43 ---- 45.238942593438849826 ----         0
 44 ---- 42.787270892016231016 ----         0
 45 ---- 50.419443494404852402 ----         0
 46 ---- 43.596188272665180818 ----         0
 47 ---- 45.238942593438849826 ----         0
 48 ---- 43.076039230118993828 ----         0
 49 ---- 46.913023963963723872 ----         0
 50 ---- 53.455901960176319676 ----         0
