run ----        objective         ---- violation
--- ---- ------------------------ ---- ---------
  1 ---- -0.095825015108684533094 ----         0
  2 ---- -0.095824705838515322753 ----         0
  3 ---- -0.095824939149497717628 ----         0
  4 ---- -0.095825028612969723185 ----         0
  5 ---- -0.095825028612969723185 ----         0
  6 ---- -0.095825028612969723185 ----         0
  7 ----  -0.09582471169232430197 ----         0
  8 ---- -0.095824705838515322753 ----         0
  9 ---- -0.095824980108577109683 ----         0
 10 ---- -0.095825028612969723185 ----         0
 11 ---- -0.095824598411115249896 ----         0
 12 ---- -0.095825027987667288354 ----         0
 13 ---- -0.095824758127266193575 ----         0
 14 ---- -0.095824939149497717628 ----         0
 15 ----  -0.09582490869130069755 ----         0
 16 ---- -0.095825000737460488964 ----         0
 17 ---- -0.095824939149497717628 ----         0
 18 ---- -0.095824939149497717628 ----         0
 19 ---- -0.095824939149497717628 ----         0
 20 ---- -0.095824980108577109683 ----         0
 21 ---- -0.095825000737460488964 ----         0
 22 ---- -0.095825027987667288354 ----         0
 23 ---- -0.095824758127266193575 ----         0
 24 ---- -0.095824939149497717628 ----         0
 25 ---- -0.095824899782448583196 ----         0
 26 ---- -0.095824758127266193575 ----         0
 27 ---- -0.095825028612969723185 ----         0
 28 ---- -0.095825015108684533094 ----         0
 29 ---- -0.095824899782448583196 ----         0
 30 ---- -0.095824689948666413875 ----         0
 31 ---- -0.095825015108684533094 ----         0
 32 ---- -0.095824817026901557004 ----         0
 33 ---- -0.095824939149497717628 ----         0
 34 ---- -0.095824939149497717628 ----         0
 35 ---- -0.095824598411115249896 ----         0
 36 ---- -0.095825015108684533094 ----         0
 37 ----  -0.09582490869130069755 ----         0
 38 ---- -0.095824980108577109683 ----         0
 39 ---- -0.095825028612969723185 ----         0
 40 ---- -0.095825015108684533094 ----         0
 41 ---- -0.095825027987667288354 ----         0
 42 ---- -0.095824817026901557004 ----         0
 43 ----  -0.09582490869130069755 ----         0
 44 ---- -0.095824758127266193575 ----         0
 45 ---- -0.095824758127266193575 ----         0
 46 ---- -0.095824980108577109683 ----         0
 47 ---- -0.095824980108577109683 ----         0
 48 ---- -0.095824758127266193575 ----         0
 49 ---- -0.095824815512045774524 ----         0
 50 ---- -0.095825025690453036198 ----         0
