run ----        objective         ---- violation
--- ---- ------------------------ ---- ---------
  1 ---- -0.095823154897796899987 ----         0
  2 ----  -0.09582503540721670765 ----         0
  3 ----  -0.09582503540721670765 ----         0
  4 ----  -0.09582502421660918368 ----         0
  5 ---- -0.095824766411005249389 ----         0
  6 ---- -0.095824874865593226425 ----         0
  7 ---- -0.095824874865593226425 ----         0
  8 ---- -0.095822378493105278552 ----         0
  9 ---- -0.095824062105086760255 ----         0
 10 ---- -0.095823918126609508583 ----         0
 11 ---- -0.095822378493105278552 ----         0
 12 ---- -0.095824480209420664911 ----         0
 13 ---- -0.095824062105086760255 ----         0
 14 ----  -0.09582502421660918368 ----         0
 15 ---- -0.095822378493105278552 ----         0
 16 ---- -0.095822027869190348759 ----         0
 17 ---- -0.095825010465966531381 ----         0
 18 ---- -0.095823760310720193512 ----         0
 19 ---- -0.095824981655970697947 ----         0
 20 ---- -0.095825010465966531381 ----         0
 21 ---- -0.095821415811372878668 ----         0
 22 ---- -0.095824929009662287993 ----         0
 23 ---- -0.095823506194907537292 ----         0
 24 ---- -0.095824480209420664911 ----         0
 25 ---- -0.095824471588528178922 ----         0
 26 ---- -0.095824874865593226425 ----         0
 27 ---- -0.095824954413191845704 ----         0
 28 ---- -0.095822027869190348759 ----         0
 29 ---- -0.095824639501769295902 ----         0
 30 ---- -0.095823154897796899987 ----         0
 31 ----  -0.09582503540721670765 ----         0
 32 ---- -0.095824954413191845704 ----         0
 33 ---- -0.095822027869190348759 ----         0
 34 ---- -0.095823918126609508583 ----         0
 35 ---- -0.095825010465966531381 ----         0
 36 ---- -0.095822027869190348759 ----         0
 37 ---- -0.095824062105086760255 ----         0
 38 ---- -0.095822027869190348759 ----         0
 39 ---- -0.095824062105086760255 ----         0
 40 ---- -0.095822027869190348759 ----         0
 41 ---- -0.095822027869190348759 ----         0
 42 ---- -0.095822027869190348759 ----         0
 43 ----  -0.09582503540721670765 ----         0
 44 ---- -0.095822027869190348759 ----         0
 45 ---- -0.095824954413191845704 ----         0
 46 ---- -0.095824062105086760255 ----         0
 47 ---- -0.095824929009662287993 ----         0
 48 ---- -0.095821415811372878668 ----         0
 49 ---- -0.095824981655970697947 ----         0
 50 ---- -0.095822604472433223211 ----         0
