run ----       objective       ---- violation
--- ---- --------------------- ---- ---------
  1 ---- 686.47569588875990121 ----         0
  2 ---- 694.32988031599370515 ----         0
  3 ---- 686.47569588875990121 ----         0
  4 ---- 690.27583539790975919 ----         0
  5 ---- 687.85015956514666868 ----         0
  6 ---- 686.45584482222534461 ----         0
  7 ---- 688.69528414404919658 ----         0
  8 ---- 690.06271523794998757 ----         0
  9 ---- 686.45584482222534461 ----         0
 10 ----  698.4439955885169411 ----         0
