run ----       objective       ----         violation        
--- ---- --------------------- ---- -------------------------
  1 ----  8821.405672042426886 ---- 0.00026005519151417466617
  2 ---- 18502.540267997701449 ----                         0
  3 ---- 10347.706369769983212 ----                         0
  4 ---- 10347.706369769983212 ----                         0
  5 ---- 10949.667517580985077 ---- 0.00024664414796093936388
  6 ---- 10226.412401840461825 ----                         0
  7 ---- 8300.9007608624815475 ----                         0
  8 ----   9563.94390228127304 ----                         0
  9 ---- 10195.173098263363499 ----                         0
 10 ---- 9849.1288384155450331 ----                         0
 11 ---- 9165.3719322713113797 ----                         0
 12 ---- 10347.706369769983212 ----                         0
 13 ---- 9952.9008640787778859 ----                         0
 14 ---- 9022.8067110579722794 ----                         0
 15 ---- 9934.2241463263053447 ----                         0
 16 ----   9563.94390228127304 ----                         0
 17 ----  11492.57479982827499 ----                         0
 18 ---- 8545.7962535532496986 ----                         0
 19 ---- 8570.6636926136798138 ----                         0
 20 ----  9521.951567224221435 ----                         0
 21 ---- 9849.1288384155450331 ----                         0
 22 ---- 8283.2004389895973873 ----                         0
 23 ---- 9475.8985158405102993 ----                         0
 24 ---- 9934.2241463263053447 ----                         0
 25 ---- 10949.667517580985077 ---- 0.00024664414796093936388
 26 ---- 8618.4530635823684861 ----                         0
 27 ---- 10347.706369769983212 ----                         0
 28 ----   9563.94390228127304 ----                         0
 29 ---- 9877.2552390680430108 ----                         0
 30 ---- 9877.2552390680430108 ----                         0
 31 ----  9521.951567224221435 ----                         0
 32 ---- 9934.2241463263053447 ----                         0
 33 ---- 9032.9230964228117955 ----                         0
 34 ----   9563.94390228127304 ----                         0
 35 ----  9521.951567224221435 ----                         0
 36 ---- 8593.1500765196360589 ----                         0
 37 ---- 9237.5707380877993273 ----                         0
 38 ---- 9952.9008640787778859 ----                         0
 39 ---- 8545.7962535532496986 ----                         0
 40 ----   11628.3896768818704 ----                         0
 41 ---- 18502.540267997701449 ----                         0
 42 ---- 10347.706369769983212 ----                         0
 43 ----  11492.57479982827499 ----                         0
 44 ---- 8593.1500765196360589 ----                         0
 45 ---- 9565.4726727912857314 ----                         0
 46 ---- 9986.2309821805501997 ----                         0
 47 ---- 8300.9007608624815475 ----                         0
 48 ---- 9126.7560176359384059 ----                         0
 49 ----  9521.951567224221435 ----                         0
 50 ---- 10347.706369769983212 ----                         0
